customer_id,on_time_payment_count,missed_payment_count,late_payment_count,on_time_percentage
118,10,0,1,90.91
119,10,10,5,40.00
120,46,2,4,88.46
121,37,10,2,75.51
122,40,8,3,78.43
123,14,0,2,87.50
124,48,0,4,92.31
125,12,7,4,52.17
126,4,5,2,36.36
127,31,0,2,93.94
128,46,8,0,85.19
129,42,0,2,95.45
130,48,2,0,96.00
131,6,7,2,40.00
132,20,3,1,83.33
133,36,7,3,78.26
134,6,9,4,31.58
135,1,8,1,10.00
136,20,2,3,80.00
137,33,6,1,82.50
138,22,8,2,68.75
139,2,6,4,16.67
140,42,2,1,93.33
141,7,3,0,70.00
142,17,10,3,56.67
143,3,1,5,33.33
144,33,2,3,86.84
145,3,9,5,17.65
146,28,2,5,80.00
147,17,1,3,80.95
148,14,4,4,63.64
149,27,0,4,87.10
150,22,7,0,75.86
151,42,5,0,89.36
152,42,9,3,77.78
153,49,3,4,87.50
154,27,8,0,77.14
155,22,7,0,75.86
156,25,7,1,75.76
157,20,7,1,71.43
158,11,4,0,73.33
159,9,1,1,81.82
160,7,10,5,31.82
161,49,4,0,92.45
162,43,3,4,86.00
163,37,0,3,92.50
164,4,9,0,30.77
165,8,0,5,61.54
166,40,0,5,88.89
167,2,5,3,20.00
168,25,9,2,69.44
169,37,5,0,88.10
170,2,5,2,22.22
171,28,10,4,66.67
172,9,2,3,64.29
173,18,9,1,64.29
174,39,9,3,76.47
175,21,6,3,70.00
176,50,1,2,94.34
177,34,7,3,77.27
178,28,2,0,93.33
179,47,0,1,97.92
180,6,4,0,60.00
181,46,0,3,93.88
182,21,1,3,84.00
183,31,10,4,68.89
184,12,10,2,50.00
185,11,0,2,84.62
186,5,4,2,45.45
187,22,2,5,75.86
188,11,1,5,64.71
189,1,7,2,10.00
190,45,9,2,80.36
191,38,8,2,79.17
192,3,10,0,23.08
193,36,4,4,81.82
194,32,6,5,74.42
195,18,1,2,85.71
196,31,6,0,83.78
197,15,8,3,57.69
198,41,1,5,87.23
199,45,0,0,100.00
200,1,9,1,9.09
201,48,1,1,96.00
202,39,2,5,84.78
203,31,7,0,81.58
204,7,6,1,50.00
205,27,9,4,67.50
206,43,4,1,89.58
207,17,7,4,60.71
208,44,10,3,77.19
209,6,8,1,40.00
210,42,9,3,77.78
211,31,6,0,83.78
212,15,10,5,50.00
213,38,3,3,86.36
214,33,8,5,71.74
215,31,8,2,75.61
216,43,3,0,93.48
217,12,5,3,60.00
218,39,8,2,79.59
219,26,8,1,74.29
220,34,9,4,72.34
221,1,2,4,14.29
222,18,8,1,66.67
223,45,0,0,100.00
224,39,1,5,86.67
225,41,1,5,87.23
226,22,0,4,84.62
227,16,0,1,94.12
228,13,5,0,72.22
229,22,10,5,59.46
230,48,0,0,100.00
231,47,7,1,85.45
232,41,0,2,95.35
233,39,2,3,88.64
234,7,0,2,77.78
235,31,1,3,88.57
236,9,4,0,69.23
237,49,10,1,81.67
238,4,0,3,57.14
239,12,6,5,52.17
240,31,1,3,88.57
241,7,10,2,36.84
242,12,2,5,63.16
243,20,10,2,62.50
244,21,0,5,80.77
245,37,3,3,86.05
246,34,2,2,89.47
247,44,1,0,97.78
248,12,1,4,70.59
249,37,5,5,78.72
250,29,5,4,76.32
251,14,3,5,63.64
252,16,1,2,84.21
253,26,3,1,86.67
254,11,4,4,57.89
255,23,2,1,88.46
256,8,2,4,57.14
257,32,4,4,80.00
258,17,2,2,80.95
259,4,0,5,44.44
260,36,1,1,94.74
261,4,0,3,57.14
262,45,4,0,91.84
263,32,0,4,88.89
264,46,8,5,77.97
265,21,9,1,67.74
266,3,10,2,20.00
267,15,9,1,60.00
268,49,2,4,89.09
269,19,2,5,73.08
270,1,9,5,6.67
271,31,6,5,73.81
272,29,8,1,76.32
273,31,4,5,77.50
274,48,2,4,88.89
275,12,1,0,92.31
276,28,6,2,77.78
277,20,7,2,68.97
278,8,4,4,50.00
279,33,1,2,91.67
280,43,8,2,81.13
281,7,0,1,87.50
282,42,9,0,82.35
283,44,7,0,86.27
284,50,9,3,80.65
285,32,7,4,74.42
286,21,10,0,67.74
287,8,9,2,42.11
288,3,4,2,33.33
289,2,5,3,20.00
290,6,9,3,33.33
291,49,8,2,83.05
292,35,5,4,79.55
293,35,7,0,83.33
294,21,6,5,65.63
295,15,7,4,57.69
296,31,2,2,88.57
297,33,9,5,70.21
298,28,7,0,80.00
299,37,6,5,77.08
300,11,8,4,47.83
301,19,8,2,65.52
302,13,0,3,81.25
303,11,2,5,61.11
304,10,9,5,41.67
305,26,1,0,96.30
306,1,7,2,10.00
307,5,5,2,41.67
308,50,10,2,80.65
309,33,1,0,97.06
310,46,3,2,90.20
311,25,6,2,75.76
312,2,3,3,25.00
313,9,9,0,50.00
314,14,6,3,60.87
315,13,7,3,56.52
316,14,5,2,66.67
317,26,2,3,83.87
318,20,4,0,83.33
319,4,6,2,33.33
320,34,9,4,72.34
321,45,7,1,84.91
322,40,4,4,83.33
323,48,1,1,96.00
324,42,3,2,89.36
325,36,10,4,72.00
326,45,2,3,90.00
327,43,5,0,89.58
328,0,1,5,0.00
329,49,0,3,94.23
330,5,6,0,45.45
331,18,8,3,62.07
332,10,9,2,47.62
333,24,4,4,75.00
334,27,9,0,75.00
335,11,2,5,61.11
336,47,3,2,90.38
337,13,10,1,54.17
338,31,9,5,68.89
339,37,0,1,97.37
340,42,0,3,93.33
341,27,9,0,75.00
342,10,1,4,66.67
343,22,9,4,62.86
344,50,6,4,83.33
345,48,5,4,84.21
346,29,8,3,72.50
347,27,6,1,79.41
348,29,10,2,70.73
349,28,10,4,66.67
350,41,9,3,77.36
351,30,5,4,76.92
352,28,7,1,77.78
353,50,9,1,83.33
354,17,1,4,77.27
355,18,9,1,64.29
356,0,9,2,0.00
357,38,7,5,76.00
358,15,8,4,55.56
359,12,0,1,92.31
360,14,8,1,60.87
361,12,3,1,75.00
362,2,4,2,25.00
363,6,3,1,60.00
364,46,4,3,86.79
365,18,4,1,78.26
366,35,3,0,92.11
367,30,5,3,78.95
368,44,0,5,89.80
369,24,0,4,85.71
370,34,5,2,82.93
371,46,4,2,88.46
372,8,3,4,53.33
373,48,4,2,88.89
374,9,0,0,100.00
375,39,7,4,78.00
376,23,1,5,79.31
377,34,1,4,87.18
378,31,5,4,77.50
379,49,5,0,90.74
380,22,9,5,61.11
381,22,6,0,78.57
382,41,5,4,82.00
383,23,4,5,71.88
384,46,5,0,90.20
385,39,9,4,75.00
386,29,7,4,72.50
387,11,0,5,68.75
388,11,7,0,61.11
389,33,6,1,82.50
390,9,0,3,75.00
391,28,2,2,87.50
392,50,0,0,100.00
393,32,6,3,78.05
394,19,9,4,59.38
395,11,7,1,57.89
396,10,1,2,76.92
397,10,5,4,52.63
398,6,1,5,50.00
399,39,4,1,88.64
400,24,9,2,68.57
401,36,5,5,78.26
402,29,1,5,82.86
403,46,9,4,77.97
404,1,10,5,6.25
405,12,7,1,60.00
406,33,10,0,76.74
407,19,5,5,65.52
408,38,7,2,80.85
409,36,0,3,92.31
410,32,2,4,84.21
411,12,8,4,50.00
412,47,7,5,79.66
413,45,9,1,81.82
414,31,5,4,77.50
415,16,3,3,72.73
416,37,5,3,82.22
417,24,4,3,77.42
418,0,5,3,0.00
419,31,5,0,86.11
420,48,5,1,88.89
421,30,8,0,78.95
422,21,8,1,70.00
423,15,9,5,51.72
424,7,7,0,50.00
425,32,4,4,80.00
426,8,8,4,40.00
427,40,6,3,81.63
428,11,4,3,61.11
429,9,7,1,52.94
430,17,5,3,68.00
431,14,3,2,73.68
432,10,9,5,41.67
433,6,7,5,33.33
434,0,5,3,0.00
435,24,4,3,77.42
436,22,3,4,75.86
437,7,10,1,38.89
438,15,7,2,62.50
439,30,0,1,96.77
440,2,5,4,18.18
441,0,3,3,0.00
442,18,10,0,64.29
443,14,1,1,87.50
444,1,1,1,33.33
445,18,1,0,94.74
446,21,7,5,63.64
447,2,10,0,16.67
448,42,5,0,89.36
449,22,7,1,73.33
450,24,7,1,75.00
451,14,1,3,77.78
452,43,0,1,97.73
453,0,1,2,0.00
454,31,0,4,88.57
455,43,4,1,89.58
456,9,10,1,45.00
457,41,8,3,78.85
458,16,3,5,66.67
459,16,7,4,59.26
460,33,6,0,84.62
461,43,1,2,93.48
462,11,0,3,78.57
463,20,6,2,71.43
464,2,1,3,33.33
465,11,8,1,55.00
466,15,8,4,55.56
467,29,2,2,87.88
468,48,7,2,84.21
469,0,3,2,0.00
470,42,7,3,80.77
471,42,8,2,80.77
472,16,6,0,72.73
473,44,7,4,80.00
474,21,0,1,95.45
475,7,6,4,41.18
476,36,7,2,80.00
477,34,9,3,73.91
478,21,10,1,65.63
479,37,6,0,86.05
480,5,8,4,29.41
481,44,6,1,86.27
482,26,8,1,74.29
483,34,2,1,91.89
484,5,4,0,55.56
485,35,7,2,79.55
486,21,3,5,72.41
487,25,0,3,89.29
488,41,8,2,80.39
489,10,10,2,45.45
490,35,2,2,89.74
491,41,10,0,80.39
492,5,5,5,33.33
493,34,7,3,77.27
494,17,10,1,60.71
495,43,3,2,89.58
496,29,4,2,82.86
497,8,4,3,53.33
498,42,5,3,84.00
499,35,2,5,83.33
500,11,4,5,55.00
501,20,10,5,57.14
502,44,1,0,97.78
503,20,7,5,62.50
504,9,8,1,50.00
505,28,5,4,75.68
506,35,7,5,74.47
507,21,4,5,70.00
508,8,4,3,53.33
509,12,4,2,66.67
510,14,10,4,50.00
511,48,4,2,88.89
512,24,0,3,88.89
513,14,8,5,51.85
514,37,8,1,80.43
515,20,4,2,76.92
516,21,4,3,75.00
517,8,10,3,38.10
518,32,1,1,94.12
519,46,6,1,86.79
520,25,6,3,73.53
521,36,5,2,83.72
522,14,1,0,93.33
523,43,2,1,93.48
524,29,6,0,82.86
525,43,5,3,84.31
526,46,5,5,82.14
527,26,10,2,68.42
528,5,9,5,26.32
529,4,1,2,57.14
530,21,3,3,77.78
531,18,9,3,60.00
532,31,5,2,81.58
533,3,6,1,30.00
534,38,6,0,86.36
535,17,9,2,60.71
536,14,6,2,63.64
537,6,6,5,35.29
538,3,3,4,30.00
539,7,3,4,50.00
540,4,4,4,33.33
541,49,4,5,84.48
542,1,8,3,8.33
543,26,10,0,72.22
544,11,9,0,55.00
545,28,4,5,75.68
546,27,0,1,96.43
547,23,4,3,76.67
548,28,10,2,70.00
549,16,0,1,94.12
550,26,3,3,81.25
551,38,5,1,86.36
552,1,4,2,14.29
553,11,8,2,52.38
554,48,1,1,96.00
555,1,9,1,9.09
556,7,10,5,31.82
557,40,5,1,86.96
558,19,7,3,65.52
559,36,5,5,78.26
560,32,7,3,76.19
561,6,10,1,35.29
562,1,8,4,7.69
563,43,5,1,87.76
564,40,1,5,86.96
565,33,7,5,73.33
566,24,2,5,77.42
567,2,9,2,15.38
568,16,2,1,84.21
569,47,5,5,82.46
570,50,7,0,87.72
571,7,3,3,53.85
572,27,2,3,84.38
573,39,5,5,79.59
574,45,2,5,86.54
575,35,8,4,74.47
576,1,7,1,11.11
577,34,5,2,82.93
578,14,10,4,50.00
579,24,2,2,85.71
580,29,8,5,69.05
581,2,2,2,33.33
582,40,4,2,86.96
583,11,4,2,64.71
584,23,7,1,74.19
585,7,2,3,58.33
586,30,5,4,76.92
587,16,4,0,80.00
588,4,10,4,22.22
589,10,4,2,62.50
590,39,2,4,86.67
591,10,10,4,41.67
592,12,6,1,63.16
593,31,10,0,75.61
594,25,5,2,78.13
595,45,9,2,80.36
596,33,7,1,80.49
597,33,1,0,97.06
598,47,1,1,95.92
599,46,10,3,77.97
600,36,9,1,78.26
601,8,3,5,50.00
602,37,3,5,82.22
603,34,4,1,87.18
604,12,0,3,80.00
605,13,0,4,76.47
606,50,4,5,84.75
607,46,0,4,92.00
608,45,9,4,77.59
609,7,9,2,38.89
610,14,9,0,60.87
611,11,8,1,55.00
612,20,7,3,66.67
613,29,5,1,82.86
614,37,3,1,90.24
615,47,7,1,85.45
616,13,1,1,86.67
617,49,4,0,92.45
618,13,2,0,86.67
619,19,8,1,67.86
620,0,0,0,#DIV/0!
621,30,2,5,81.08
622,46,10,2,79.31
623,50,6,1,87.72
624,9,7,4,45.00
625,23,0,0,100.00
626,40,6,3,81.63
627,17,2,1,85.00
628,46,0,4,92.00
629,41,3,0,93.18
630,10,9,1,50.00
631,21,5,3,72.41
632,13,7,1,61.90
633,46,10,2,79.31
634,24,1,3,85.71
635,4,10,5,21.05
636,23,6,0,79.31
637,8,5,1,57.14
638,35,10,1,76.09
639,31,6,4,75.61
640,37,5,1,86.05
641,13,7,2,59.09
642,31,7,5,72.09
643,29,9,5,67.44
644,3,0,2,60.00
645,27,9,1,72.97
646,46,9,4,77.97
647,0,0,2,0.00
648,16,10,1,59.26
649,5,5,2,41.67
650,4,3,5,33.33
651,34,7,3,77.27
652,35,6,4,77.78
653,13,9,3,52.00
654,11,7,3,52.38
655,41,8,4,77.36
656,20,2,4,76.92
657,32,10,3,71.11
658,7,3,5,46.67
659,34,8,4,73.91
660,48,7,2,84.21
661,2,0,2,50.00
662,30,0,3,90.91
663,2,10,4,12.50
664,26,1,2,89.66
665,0,5,5,0.00
666,6,0,4,60.00
667,18,4,2,75.00
668,33,4,4,80.49
669,4,8,3,26.67
670,29,10,2,70.73
671,11,2,1,78.57
672,16,9,5,53.33
673,6,9,4,31.58
674,49,4,2,89.09
675,38,0,3,92.68
676,20,3,1,83.33
677,35,1,1,94.59
678,46,7,5,79.31
679,26,10,0,72.22
680,45,3,5,84.91
681,45,2,3,90.00
682,11,6,2,57.89
683,40,2,3,88.89
684,14,0,2,87.50
685,44,9,3,78.57
686,37,5,0,88.10
687,29,7,3,74.36
688,28,8,0,77.78
689,11,3,3,64.71
690,27,3,0,90.00
691,10,3,4,58.82
692,10,1,5,62.50
693,35,5,5,77.78
694,17,4,5,65.38
695,31,4,4,79.49
696,50,7,2,84.75
697,33,9,2,75.00
698,19,7,2,67.86
699,47,2,1,94.00
700,49,0,3,94.23
701,45,6,0,88.24
702,29,10,5,65.91
703,34,4,5,79.07
704,41,8,0,83.67
705,42,0,4,91.30
706,7,5,1,53.85
707,4,2,5,36.36
708,22,1,3,84.62
709,10,7,1,55.56
710,47,1,3,92.16
711,42,1,2,93.33
712,39,6,1,84.78
713,42,7,5,77.78
714,35,6,1,83.33
715,45,1,1,95.74
716,21,9,4,61.76
717,47,6,4,82.46
718,50,10,2,80.65
719,34,9,0,79.07
720,2,4,3,22.22
721,8,1,3,66.67
722,24,8,0,75.00
723,11,2,5,61.11
724,9,9,1,47.37
725,30,10,2,71.43
726,29,1,3,87.88
727,37,3,3,86.05
728,11,0,0,100.00
729,1,3,0,25.00
730,29,5,3,78.38
731,13,2,0,86.67
732,27,4,4,77.14
733,29,1,4,85.29
734,28,3,4,80.00
735,11,0,3,78.57
736,16,8,2,61.54
737,6,5,2,46.15
738,12,10,2,50.00
739,44,0,0,100.00
740,36,3,2,87.80
741,49,8,2,83.05
742,35,6,3,79.55
743,7,6,2,46.67
744,23,4,0,85.19
745,27,2,2,87.10
746,8,8,2,44.44
747,18,0,0,100.00
748,33,0,4,89.19
749,20,4,2,76.92
750,22,4,5,70.97
751,43,6,3,82.69
752,18,5,4,66.67
753,45,1,0,97.83
754,42,4,4,84.00
755,50,10,4,78.13
756,7,0,0,100.00
757,16,5,4,64.00
758,46,0,0,100.00
759,7,6,5,38.89
760,30,8,5,69.77
761,39,3,5,82.98
762,13,7,4,54.17
763,47,7,2,83.93
764,16,4,5,64.00
765,26,5,3,76.47
766,26,9,1,72.22
767,34,0,2,94.44
768,23,10,2,65.71
769,24,10,2,66.67
770,1,7,4,8.33
771,9,2,5,56.25
772,23,6,3,71.88
773,7,9,0,43.75
774,7,9,3,36.84
775,2,1,5,25.00
776,16,5,3,66.67
777,24,8,1,72.73
778,13,9,2,54.17
779,0,2,0,0.00
780,19,6,4,65.52
781,35,4,1,87.50
782,30,8,2,75.00
783,8,5,5,44.44
784,5,0,4,55.56
785,9,7,5,42.86
786,16,5,4,64.00
787,26,7,3,72.22
788,41,5,5,80.39
789,32,5,4,78.05
790,8,1,5,57.14
791,20,0,4,83.33
792,11,10,5,42.31
793,33,10,2,73.33
794,1,10,4,6.67
795,33,5,1,84.62
796,10,8,2,50.00
797,18,10,1,62.07
798,23,3,3,79.31
799,5,8,4,29.41
800,13,8,4,52.00
801,9,8,1,50.00
802,32,7,1,80.00
803,32,10,0,76.19
804,32,6,5,74.42
805,36,3,3,85.71
806,22,6,3,70.97
807,30,8,4,71.43
808,24,2,3,82.76
809,2,1,5,25.00
810,44,8,0,84.62
811,37,0,5,88.10
812,16,8,2,61.54
813,6,5,1,50.00
814,13,7,0,65.00
815,46,7,5,79.31
816,4,2,1,57.14
817,46,4,3,86.79
818,7,3,5,46.67
819,49,5,2,87.50
820,50,9,5,78.13
821,42,2,1,93.33
822,17,0,3,85.00
823,15,6,2,65.22
824,8,2,3,61.54
825,48,8,1,84.21
826,46,2,4,88.46
827,47,2,0,95.92
828,1,2,0,33.33
829,12,9,2,52.17
830,30,6,0,83.33
831,43,10,4,75.44
832,35,8,2,77.78
833,23,3,3,79.31
834,0,0,4,0.00
835,11,9,3,47.83
836,19,7,0,73.08
837,37,7,2,80.43
838,0,7,1,0.00
839,2,2,0,50.00
840,41,3,1,91.11
841,20,0,4,83.33
842,21,0,5,80.77
843,28,5,4,75.68
844,44,4,1,89.80
845,10,7,4,47.62
846,37,8,2,78.72
847,46,9,4,77.97
848,1,5,0,16.67
849,29,4,0,87.88
850,14,1,5,70.00
851,12,3,2,70.59
852,49,1,5,89.09
853,6,10,1,35.29
854,38,1,4,88.37
855,43,1,1,95.56
856,21,6,0,77.78
857,48,2,3,90.57
858,18,5,4,66.67
859,0,6,3,0.00
860,46,10,5,75.41
861,4,6,5,26.67
862,9,7,4,45.00
863,2,9,4,13.33
864,12,5,0,70.59
865,28,2,1,90.32
866,38,1,4,88.37
867,43,4,3,86.00
868,35,1,0,97.22
869,10,4,1,66.67
870,32,5,3,80.00
871,20,10,4,58.82
872,21,7,5,63.64
873,46,10,0,82.14
874,40,9,3,76.92
875,45,3,2,90.00
876,11,4,2,64.71
877,7,4,2,53.85
878,47,8,3,81.03
879,26,8,4,68.42
880,31,0,2,93.94
881,49,4,0,92.45
882,29,8,5,69.05
883,40,9,5,74.07
884,18,1,0,94.74
885,40,1,4,88.89
886,24,7,0,77.42
887,34,0,1,97.14
888,45,3,4,86.54
889,6,6,3,40.00
890,50,10,3,79.37
891,42,7,4,79.25
892,40,1,5,86.96
893,10,0,4,71.43
894,10,5,5,50.00
895,35,7,1,81.40
896,7,4,0,63.64
897,20,10,3,60.61
898,16,9,2,59.26
899,10,8,1,52.63
900,36,2,4,85.71
901,43,8,3,79.63
902,13,8,2,56.52
903,17,1,5,73.91
904,25,2,4,80.65
905,5,1,5,45.45
906,16,3,2,76.19
907,6,6,1,46.15
908,22,3,0,88.00
909,7,10,2,36.84
910,14,10,4,50.00
911,33,7,2,78.57
912,42,8,5,76.36
913,34,0,5,87.18
914,25,3,4,78.13
915,4,3,2,44.44
916,16,1,2,84.21
917,1,9,2,8.33
918,19,1,3,82.61
919,26,10,0,72.22
920,12,1,2,80.00
921,14,10,2,53.85
922,46,7,0,86.79
923,9,1,2,75.00
924,2,0,2,50.00
925,45,7,5,78.95
926,45,4,1,90.00
927,2,10,1,15.38
928,33,6,4,76.74
929,1,4,1,16.67
930,27,0,2,93.10
931,36,6,3,80.00
932,22,2,5,75.86
933,31,8,5,70.45
934,37,4,4,82.22
935,34,5,1,85.00
936,25,3,4,78.13
937,13,9,3,52.00
938,47,9,4,78.33
939,45,8,3,80.36
940,16,5,4,64.00
941,47,3,5,85.45
942,17,9,1,62.96
943,6,1,3,60.00
944,12,2,5,63.16
945,36,1,1,94.74
946,14,4,5,60.87
947,28,9,0,75.68
948,35,10,1,76.09
949,41,5,4,82.00
950,41,1,3,91.11
951,45,8,3,80.36
952,27,0,4,87.10
953,6,7,4,35.29
954,23,1,5,79.31
955,23,9,3,65.71
956,25,10,4,64.10
957,19,7,2,67.86
958,12,0,3,80.00
959,49,1,2,94.23
960,45,3,0,93.75
961,17,10,2,58.62
962,1,2,4,14.29
963,37,2,0,94.87
964,46,1,3,92.00
965,20,4,2,76.92
966,39,1,1,95.12
967,50,0,3,94.34
968,10,8,2,50.00
969,28,4,3,80.00
970,40,2,1,93.02
971,47,3,2,90.38
972,7,2,3,58.33
973,28,9,5,66.67
974,43,0,1,97.73
975,32,3,4,82.05
976,21,2,1,87.50
977,33,5,0,86.84
978,12,5,4,57.14
979,38,6,3,80.85
980,5,8,0,38.46
981,22,2,4,78.57
982,32,6,3,78.05
983,16,9,4,55.17
984,44,7,4,80.00
985,40,3,0,93.02
986,21,10,3,61.76
987,12,10,1,52.17
988,27,1,5,81.82
989,46,6,4,82.14
990,44,5,4,83.02
991,48,6,3,84.21
992,20,9,2,64.52
993,0,3,5,0.00
994,34,4,1,87.18
995,17,7,3,62.96
996,38,2,0,95.00
997,21,10,3,61.76
998,44,9,0,83.02
999,11,6,2,57.89
1000,8,0,4,66.67
1001,11,6,0,64.71
1002,13,8,4,52.00
1003,35,3,5,81.40
1004,18,0,3,85.71
1005,25,2,1,89.29
1006,35,7,2,79.55
1007,20,1,1,90.91
1008,46,0,1,97.87
1009,0,4,4,0.00
1010,24,6,1,77.42
1011,2,3,3,25.00
1012,1,8,1,10.00
1013,41,10,2,77.36
1014,1,7,2,10.00
1015,26,0,2,92.86
1016,37,2,3,88.10
1017,46,10,4,76.67
1018,43,0,1,97.73
1019,3,7,4,21.43
1020,1,7,4,8.33
1021,28,8,3,71.79
1022,26,10,0,72.22
1023,21,3,1,84.00
1024,13,4,0,76.47
1025,33,8,3,75.00
1026,45,2,1,93.75
1027,13,7,2,59.09
1028,26,1,3,86.67
1029,4,2,0,66.67
1030,9,4,0,69.23
1031,48,9,0,84.21
1032,5,4,1,50.00
1033,50,1,0,98.04
1034,43,7,5,78.18
1035,36,4,4,81.82
1036,2,4,1,28.57
1037,7,5,4,43.75
1038,11,4,1,68.75
1039,34,3,2,87.18
1040,26,2,3,83.87
1041,5,0,0,100.00
1042,0,5,4,0.00
1043,11,6,3,55.00
1044,46,8,2,82.14
1045,12,8,5,48.00
1046,5,1,3,55.56
1047,18,0,0,100.00
1048,47,5,1,88.68
1049,39,5,4,81.25
1050,31,6,4,75.61
1051,19,5,1,76.00
1052,34,3,0,91.89
1053,25,3,1,86.21
1054,15,8,1,62.50
1055,16,6,0,72.73
1056,1,9,5,6.67
1057,10,2,2,71.43
1058,29,6,2,78.38
1059,11,4,4,57.89
1060,37,10,1,77.08
1061,23,7,1,74.19
1062,49,7,4,81.67
1063,10,3,3,62.50
1064,48,3,5,85.71
1065,0,0,2,0.00
1066,43,2,3,89.58
1067,30,2,5,81.08
1068,25,1,3,86.21
1069,26,9,4,66.67
1070,47,10,4,77.05
1071,13,10,4,48.15
1072,23,3,2,82.14
1073,34,0,1,97.14
1074,15,10,4,51.72
1075,46,10,5,75.41
1076,23,8,4,65.71
1077,2,4,1,28.57
1078,32,3,4,82.05
1079,39,2,3,88.64
1080,25,3,1,86.21
1081,7,5,5,41.18
1082,10,10,3,43.48
1083,26,9,1,72.22
1084,34,5,2,82.93
1085,9,10,2,42.86
1086,18,1,5,75.00
1087,49,9,0,84.48
1088,49,3,0,94.23
1089,39,0,2,95.12
1090,20,10,2,62.50
1091,39,5,4,81.25
1092,24,0,0,100.00
1093,19,9,1,65.52
1094,17,10,1,60.71
1095,30,5,3,78.95
1096,16,8,1,64.00
1097,31,7,2,77.50
1098,47,3,2,90.38
1099,26,8,2,72.22
1100,13,4,5,59.09
1101,35,4,2,85.37
1102,38,3,0,92.68
1103,10,4,2,62.50
1104,21,1,1,91.30
1105,0,10,5,0.00
1106,15,3,3,71.43
1107,39,1,1,95.12
1108,21,4,5,70.00
1109,34,8,2,77.27
1110,20,0,2,90.91
1111,8,1,1,80.00
1112,27,7,1,77.14
1113,40,6,2,83.33
1114,20,4,3,74.07
1115,37,6,0,86.05
1116,42,4,2,87.50
1117,50,9,4,79.37
1118,16,6,4,61.54
1119,16,2,5,69.57
1120,37,4,3,84.09
1121,19,3,5,70.37
1122,26,1,4,83.87
1123,11,8,2,52.38
1124,0,10,0,0.00
1125,0,6,0,0.00
1126,46,2,3,90.20
1127,40,5,2,85.11
1128,9,9,0,50.00
1129,30,4,5,76.92
1130,50,10,5,76.92
1131,48,9,3,80.00
1132,50,1,3,92.59
1133,45,6,2,84.91
1134,21,5,1,77.78
1135,2,1,5,25.00
1136,20,1,5,76.92
1137,44,3,2,89.80
1138,3,10,2,20.00
1139,36,8,3,76.60
1140,6,2,0,75.00
1141,17,4,5,65.38
1142,26,10,3,66.67
1143,38,9,3,76.00
1144,17,4,1,77.27
1145,45,0,5,90.00
1146,43,4,0,91.49
1147,0,9,0,0.00
