customer_id,loan_amount,loan_type,loan_term,interest_rate,monthly_payment_amount,loan_status,outstanding_balance
4265,1116516,Personal,36,0.09,8037,Defaulted,51304
593,1402490,Home,60,0.13,38804,Active,168935
9862,1186526,Home,60,0.08,6312,Active,104076
2870,739692,Education,36,0.09,11241,Active,217722
511,171614,Personal,24,0.09,46516,Active,204451
5451,876805,Personal,24,0.14,34072,Defaulted,100995
5322,1830629,Home,12,0.13,42210,Active,128344
9335,969108,Personal,36,0.1,28759,Paid Off,150912
2076,303389,Education,48,0.14,4361,Paid Off,401047
3010,558342,Home,24,0.1,21189,Defaulted,183521
3745,1890915,Auto,48,0.12,26811,Paid Off,69823
8021,138244,Home,60,0.08,6109,Defaulted,98524
558,245553,Education,48,0.14,11010,Active,483393
6243,1900809,Home,24,0.1,25502,Active,312985
1759,516002,Personal,36,0.13,35498,Defaulted,421359
6200,678923,Education,48,0.14,21544,Paid Off,487569
3705,1117226,Home,12,0.08,28722,Paid Off,36105
6626,1484061,Personal,48,0.14,4595,Active,471241
5264,1346504,Education,24,0.14,8858,Defaulted,199613
7009,165160,Personal,48,0.07,37575,Defaulted,327715
3225,1031479,Home,12,0.08,11744,Paid Off,207170
1404,1493093,Personal,12,0.1,20848,Active,154569
2697,1905648,Education,24,0.14,11012,Paid Off,76816
6182,189254,Auto,12,0.12,14720,Paid Off,420444
7944,1549041,Home,60,0.11,44883,Active,320002
5646,22306,Personal,36,0.07,21272,Active,408857
2160,327718,Education,24,0.11,35715,Active,468279
650,1368684,Education,24,0.07,32541,Defaulted,451189
5597,1612687,Personal,60,0.11,25102,Active,346920
5525,407482,Personal,36,0.15,44344,Paid Off,425263
8125,1764752,Home,60,0.11,45911,Defaulted,49097
7319,688093,Auto,12,0.1,13139,Defaulted,259216
6051,1554691,Auto,48,0.13,13587,Paid Off,323123
4497,597926,Personal,12,0.13,48292,Active,351484
3335,888619,Education,60,0.14,45610,Defaulted,25714
3854,567716,Education,48,0.12,1686,Active,209043
1612,1868134,Home,12,0.08,32590,Active,185377
4067,1627239,Home,48,0.14,36747,Paid Off,388324
4476,157386,Personal,12,0.09,15072,Defaulted,491904
4726,294975,Auto,48,0.12,22893,Defaulted,74120
2276,563829,Auto,48,0.09,26466,Active,134169
3886,474757,Education,48,0.08,28267,Paid Off,288782
5649,1502189,Personal,24,0.08,42804,Active,212778
7650,1293500,Education,24,0.13,21675,Defaulted,299586
5587,390996,Education,36,0.14,31917,Paid Off,349458
3753,1078809,Auto,36,0.09,2535,Active,300320
9311,1907317,Education,12,0.12,47423,Defaulted,351755
676,561699,Home,24,0.14,40452,Paid Off,84360
3054,908414,Auto,48,0.07,10465,Active,32528
1263,890191,Education,24,0.09,16029,Paid Off,192469
7003,328146,Home,60,0.13,32486,Paid Off,426845
3344,897871,Home,48,0.12,5297,Paid Off,80475
2638,1097670,Personal,12,0.09,26284,Defaulted,352543
5947,570540,Auto,48,0.1,11793,Defaulted,121629
1081,380471,Home,12,0.14,2428,Defaulted,342045
7614,1162434,Home,12,0.12,24222,Paid Off,77789
6407,615408,Auto,36,0.11,27129,Paid Off,282336
9419,1656044,Personal,24,0.1,23098,Paid Off,316988
1480,1437496,Personal,12,0.14,22567,Active,465120
6681,1897498,Personal,60,0.15,32120,Defaulted,185431
1901,1377896,Personal,60,0.12,31514,Defaulted,395204
421,1580637,Education,24,0.1,35455,Defaulted,418411
3120,666195,Auto,24,0.13,25186,Defaulted,496054
2490,979225,Personal,48,0.12,49295,Defaulted,201867
4116,710580,Personal,12,0.15,45955,Defaulted,267441
396,1583931,Auto,36,0.14,14349,Defaulted,353958
6498,1851943,Education,60,0.11,12941,Defaulted,406903
9304,550030,Home,12,0.1,19299,Paid Off,397211
2975,685601,Home,12,0.11,29601,Active,247232
1812,1253617,Auto,48,0.1,49308,Defaulted,492842
7693,1616583,Auto,12,0.12,45164,Active,83233
2526,1634559,Education,36,0.14,32525,Defaulted,301707
6,1395637,Personal,12,0.08,39399,Defaulted,379301
4835,1165118,Auto,36,0.08,39487,Defaulted,477028
8290,1476328,Education,24,0.11,9427,Active,412713
1490,1357685,Home,60,0.1,37095,Paid Off,74202
4225,1461706,Auto,12,0.1,41545,Paid Off,416865
5185,1006338,Personal,36,0.13,19921,Active,91680
4814,1774913,Education,48,0.12,1601,Defaulted,15147
3215,1556809,Home,36,0.09,15507,Defaulted,274719
2315,254876,Auto,36,0.1,2869,Paid Off,347736
6627,24356,Personal,24,0.11,15077,Paid Off,496075
9685,57900,Home,48,0.13,13909,Defaulted,128168
9179,504877,Auto,36,0.13,6802,Paid Off,145906
6453,1607867,Auto,60,0.08,31662,Paid Off,220772
6826,353342,Education,12,0.11,22764,Active,169933
4597,1684896,Education,12,0.08,1991,Paid Off,98723
2051,986796,Education,12,0.11,41549,Defaulted,219930
4555,230705,Auto,36,0.13,25684,Paid Off,362863
7956,409875,Education,60,0.14,9626,Defaulted,207189
6550,1375205,Auto,24,0.13,41861,Active,239663
2217,1789024,Personal,48,0.14,20681,Defaulted,161309
7002,724844,Personal,24,0.07,16656,Paid Off,45337
8799,705121,Education,24,0.12,21832,Paid Off,109970
5753,1034347,Home,48,0.13,13633,Defaulted,60753
9488,1372126,Personal,24,0.09,10998,Active,31958
6325,1986929,Personal,48,0.08,39034,Active,359985
2394,734849,Auto,60,0.1,33430,Active,463509
1909,1822563,Personal,36,0.09,37110,Paid Off,172384
869,101725,Personal,12,0.14,43983,Active,282085
2677,625485,Education,36,0.13,31303,Defaulted,47418
6483,383157,Personal,48,0.11,40609,Paid Off,126225
8443,1741665,Auto,48,0.15,27098,Paid Off,233063
3896,583075,Personal,60,0.08,14690,Active,111708
98,533048,Home,36,0.1,29718,Active,204327
1312,100433,Personal,36,0.14,1396,Paid Off,49319
5657,277313,Education,12,0.14,17700,Active,421153
4695,1493733,Personal,60,0.13,43575,Paid Off,302940
3863,231472,Personal,48,0.14,39940,Active,114725
5168,1218961,Personal,24,0.14,19151,Defaulted,175061
584,551656,Personal,48,0.07,24395,Paid Off,435575
6853,929132,Auto,24,0.11,11098,Active,360424
6558,207062,Auto,24,0.11,49038,Active,408856
9231,245158,Auto,12,0.12,18147,Paid Off,381601
4204,666751,Auto,60,0.14,41322,Paid Off,87779
4182,1202417,Personal,48,0.11,32880,Paid Off,442915
5828,834481,Home,60,0.14,7341,Defaulted,456698
8848,1418970,Personal,12,0.13,42419,Active,85423
6152,1632307,Personal,12,0.1,4872,Active,420623
9561,1684932,Home,36,0.14,4346,Paid Off,150652
3517,760453,Auto,60,0.13,33878,Active,234830
3340,1050849,Education,48,0.13,33513,Paid Off,269512
4998,1128570,Personal,12,0.13,21640,Paid Off,449556
7919,1139745,Home,36,0.14,27276,Active,440837
7655,865297,Home,24,0.13,43720,Defaulted,108154
7268,1254609,Personal,12,0.15,24577,Active,426362
8599,1063325,Personal,24,0.12,41601,Active,181637
1974,1463052,Personal,24,0.1,3117,Active,427717
1311,1383636,Home,24,0.09,41324,Paid Off,138921
3078,1253298,Personal,60,0.09,9526,Active,134802
275,437727,Auto,60,0.09,11457,Defaulted,276543
6892,443384,Auto,12,0.07,39275,Active,227221
6546,1844273,Auto,12,0.1,9940,Defaulted,333489
6845,1683273,Education,24,0.14,22948,Active,294733
2915,784345,Auto,12,0.1,48740,Defaulted,32474
4697,1415517,Auto,24,0.12,5300,Paid Off,445315
5724,792661,Personal,60,0.1,45506,Defaulted,163614
734,287536,Education,12,0.11,17217,Paid Off,261790
7831,742879,Education,12,0.08,34614,Active,297385
8327,744728,Education,24,0.11,44184,Active,184878
1753,318748,Personal,24,0.11,9188,Paid Off,71958
1785,469621,Education,24,0.13,24417,Defaulted,496994
2929,1815931,Personal,48,0.08,9705,Active,46409
8215,344108,Auto,12,0.1,3389,Active,188429
1264,1056853,Auto,48,0.08,12993,Active,327294
2560,972510,Education,12,0.09,13510,Active,179546
5876,123345,Auto,36,0.1,33664,Active,209954
3694,1817648,Education,60,0.12,20190,Paid Off,244440
3542,304694,Personal,60,0.09,26051,Defaulted,334700
8649,21859,Auto,12,0.09,9878,Defaulted,15236
6141,1478396,Personal,24,0.1,40371,Paid Off,379597
6560,1713409,Education,36,0.15,37234,Defaulted,246325
5662,963001,Personal,12,0.13,2712,Active,293708
4172,1367780,Auto,48,0.09,24851,Defaulted,170686
6165,844813,Home,48,0.08,29452,Defaulted,282115
1670,462422,Home,12,0.13,14169,Paid Off,252508
9349,1123276,Auto,48,0.12,5333,Active,240453
8715,1187998,Education,60,0.1,32122,Active,117249
8103,1021567,Education,60,0.12,46200,Paid Off,401309
3524,1544810,Personal,24,0.09,8190,Paid Off,339791
1977,1010262,Personal,36,0.12,27526,Defaulted,57920
9090,277890,Education,48,0.11,26809,Defaulted,299910
99,1712934,Education,24,0.09,2556,Defaulted,447999
3626,1698911,Auto,36,0.09,27268,Active,135517
6985,1569393,Education,12,0.11,46018,Defaulted,476125
9868,186104,Auto,12,0.14,5136,Paid Off,417938
4279,1447307,Home,12,0.07,38099,Active,360172
7929,209880,Personal,12,0.09,15445,Paid Off,159115
1170,1173386,Home,36,0.14,2908,Active,58194
4374,1403226,Education,36,0.11,23812,Defaulted,369683
2346,1289181,Personal,48,0.14,1478,Active,461307
2327,1329434,Auto,36,0.08,21832,Active,131949
4482,1828422,Home,36,0.07,49274,Active,211870
224,21161,Home,24,0.07,8915,Active,306619
4493,380956,Home,48,0.07,35298,Active,314785
1440,1261927,Auto,48,0.14,26824,Active,475036
4950,1346774,Auto,12,0.14,42873,Defaulted,169749
8346,1470443,Education,12,0.09,2267,Paid Off,391561
9261,1457647,Home,24,0.13,42580,Active,478855
4323,477417,Home,36,0.13,1151,Defaulted,252060
8493,643225,Personal,36,0.07,3580,Defaulted,368659
5201,639450,Education,24,0.09,35412,Defaulted,103099
3215,68894,Personal,24,0.08,8329,Active,167898
2617,1784308,Auto,12,0.08,24348,Active,190945
5460,552356,Personal,24,0.08,42606,Paid Off,30142
8618,331079,Personal,12,0.13,37721,Active,270064
4570,887249,Education,12,0.12,47806,Active,96035
6680,305505,Auto,24,0.09,17853,Active,227940
1437,744017,Personal,36,0.11,37553,Defaulted,13991
9259,577547,Education,12,0.15,38111,Defaulted,345598
5201,1988875,Home,24,0.08,20772,Active,11383
7233,1942855,Home,24,0.11,5056,Active,18739
2972,454431,Personal,36,0.09,40745,Defaulted,229047
4030,1824466,Personal,48,0.11,49485,Active,216818
6696,754830,Auto,48,0.11,3133,Active,99729
3787,139373,Personal,12,0.12,4511,Defaulted,357532
5468,565388,Auto,60,0.14,47434,Defaulted,177458
8929,580515,Home,24,0.07,39895,Paid Off,293748
740,973041,Education,60,0.13,39355,Defaulted,161388
944,1697015,Personal,48,0.1,15796,Active,409433
9919,1013588,Education,36,0.13,38699,Paid Off,79741
9527,1071865,Personal,36,0.13,16490,Paid Off,180101
7558,508432,Education,36,0.11,43801,Active,208108
2629,1268673,Home,48,0.11,13207,Defaulted,371013
1556,1940738,Auto,48,0.09,46902,Defaulted,182775
5947,1807564,Home,48,0.09,1436,Defaulted,35279
6032,729838,Home,36,0.13,33301,Paid Off,335424
4328,1295023,Personal,48,0.11,29469,Defaulted,183180
7257,1486724,Education,12,0.12,39036,Defaulted,27291
4880,341368,Education,24,0.12,35507,Defaulted,396585
4860,1153974,Home,60,0.14,3910,Defaulted,167629
710,1392805,Auto,48,0.13,22167,Active,72989
5793,757244,Education,24,0.14,18125,Active,458517
1817,22331,Personal,36,0.09,34391,Paid Off,429774
9225,375934,Auto,24,0.09,1138,Defaulted,457314
9552,1175340,Education,60,0.12,13434,Active,102313
3386,1184852,Home,12,0.09,29065,Defaulted,225490
6255,315212,Education,24,0.08,41623,Active,206253
2127,832821,Education,12,0.12,5320,Defaulted,75073
2095,1653988,Auto,36,0.13,29326,Paid Off,192624
90,316516,Auto,36,0.1,36226,Active,89522
9860,1533067,Auto,12,0.09,39182,Defaulted,267050
4791,1006957,Home,36,0.12,32985,Active,421019
7908,1207852,Education,24,0.14,12555,Defaulted,104114
4005,1344584,Education,36,0.11,41792,Paid Off,113640
4049,1998586,Education,36,0.07,34589,Active,406635
3156,1542619,Education,48,0.15,37015,Active,148605
8454,1734975,Education,60,0.1,4179,Paid Off,59695
1257,797088,Auto,36,0.09,27219,Paid Off,148782
7944,901278,Home,60,0.13,14367,Defaulted,191725
5096,1244993,Personal,36,0.07,48684,Active,159079
215,1883231,Auto,36,0.09,11679,Active,394918
6090,552558,Home,24,0.13,31921,Paid Off,153736
5464,844847,Personal,12,0.13,39902,Defaulted,257762
9389,986157,Home,60,0.11,47868,Defaulted,393354
6180,1744798,Auto,48,0.08,41105,Active,465633
902,363477,Auto,36,0.13,19298,Defaulted,135542
9744,936593,Home,48,0.13,17834,Active,266133
2934,259404,Auto,60,0.09,39155,Active,8856
2367,1344889,Home,36,0.1,21517,Paid Off,181725
1874,1008227,Personal,48,0.08,43492,Defaulted,236058
2092,31317,Home,24,0.09,25801,Defaulted,444803
3436,1375590,Personal,60,0.15,4479,Defaulted,335721
9095,120856,Education,48,0.13,8393,Active,475407
5228,1040389,Auto,24,0.11,22879,Active,453442
6998,1777923,Home,12,0.14,18461,Defaulted,328890
5057,1923778,Education,60,0.12,3356,Active,55922
2859,1996456,Auto,48,0.13,18145,Active,250398
7471,56272,Personal,36,0.13,45742,Active,53518
1141,143681,Education,24,0.11,49487,Active,470792
1103,216164,Education,36,0.08,14938,Active,173192
4652,1744399,Education,60,0.14,12813,Defaulted,210538
8584,1371015,Auto,12,0.14,48185,Defaulted,298064
1812,507216,Home,60,0.13,28902,Active,90248
8066,1717779,Education,24,0.07,33918,Defaulted,6291
7925,1877988,Home,36,0.07,19480,Defaulted,389910
6889,1995412,Personal,60,0.13,25691,Active,405944
4728,1630072,Personal,12,0.1,38884,Defaulted,461351
5075,458953,Education,36,0.15,35621,Active,123639
3783,635849,Home,24,0.11,1431,Paid Off,176225
5867,1412828,Personal,36,0.13,3096,Paid Off,56518
5667,805594,Personal,36,0.13,25439,Paid Off,481653
8717,904741,Personal,36,0.12,2806,Paid Off,159733
4058,669585,Auto,24,0.14,16254,Defaulted,15571
8482,1380130,Auto,24,0.13,25445,Active,312444
3703,357681,Education,12,0.13,47282,Defaulted,18381
1710,1839486,Home,36,0.11,1361,Defaulted,181539
5411,1915493,Home,36,0.1,23913,Defaulted,390033
6776,990012,Personal,36,0.09,44376,Active,407127
7144,1374632,Home,36,0.09,3956,Paid Off,345345
5817,1282884,Auto,36,0.14,42792,Defaulted,414776
8684,682693,Personal,36,0.1,4232,Paid Off,50378
9630,700870,Personal,48,0.08,35446,Paid Off,323573
867,1377809,Auto,60,0.14,7411,Defaulted,8912
7000,1004916,Personal,36,0.09,26946,Defaulted,358433
5868,15327,Education,48,0.14,7421,Paid Off,141717
5961,800316,Personal,36,0.13,48533,Paid Off,150323
4557,402886,Education,36,0.09,7506,Paid Off,307013
8687,919814,Home,48,0.1,36142,Defaulted,397732
8217,531577,Auto,60,0.08,30197,Active,403282
8957,558836,Education,12,0.08,21131,Defaulted,171626
3026,403714,Home,60,0.13,48944,Active,400680
6173,203640,Auto,12,0.14,22363,Defaulted,179521
3430,1359520,Auto,36,0.08,43800,Paid Off,36861
1902,968298,Home,60,0.11,1842,Defaulted,452350
4945,1361035,Auto,48,0.14,10402,Active,442852
3329,1876571,Education,60,0.12,2358,Defaulted,41533
333,744676,Personal,24,0.14,23945,Defaulted,499010
1427,51982,Auto,48,0.11,9077,Active,149089
9657,59270,Auto,60,0.12,23583,Active,114679
5350,434669,Education,36,0.07,46905,Active,159635
3617,691647,Auto,36,0.14,40811,Paid Off,448205
571,81084,Auto,36,0.09,48586,Defaulted,254172
801,1560723,Auto,48,0.08,13754,Active,144729
1188,1547671,Education,48,0.08,26232,Paid Off,284328
8386,1996762,Personal,24,0.11,33184,Active,486653
8318,1640989,Personal,60,0.11,42041,Paid Off,461120
4320,18148,Education,48,0.08,9161,Paid Off,56619
3294,1977221,Auto,60,0.08,5442,Defaulted,377417
2611,1822541,Personal,36,0.07,9912,Active,302001
4651,1547832,Education,24,0.13,37207,Paid Off,445263
9813,659152,Education,36,0.11,8384,Paid Off,350897
4250,1281115,Home,36,0.09,24903,Defaulted,321140
3732,989626,Education,48,0.1,46235,Defaulted,211481
6156,962018,Auto,36,0.08,2629,Defaulted,207854
2452,1031723,Personal,36,0.11,46636,Paid Off,119818
809,1918482,Personal,12,0.09,45802,Paid Off,224281
8416,1467597,Home,24,0.15,3111,Active,352518
7007,166921,Home,60,0.13,28354,Active,49779
4399,1961358,Education,48,0.13,12846,Paid Off,229527
219,604489,Home,24,0.14,37417,Active,391348
7793,1671572,Personal,24,0.15,24249,Active,146051
8469,747483,Education,36,0.14,15597,Paid Off,430775
6113,570751,Auto,36,0.1,17526,Defaulted,312451
8720,775059,Auto,36,0.14,49187,Active,412249
8672,385929,Auto,12,0.13,33456,Defaulted,332565
3173,1644986,Home,48,0.12,18513,Active,359841
2841,1473446,Home,36,0.13,25232,Active,282237
4774,674868,Home,36,0.08,21782,Defaulted,265240
5190,1991557,Home,36,0.08,36765,Active,222801
1982,1966586,Education,24,0.07,42689,Active,398117
2776,1845206,Education,48,0.14,18662,Defaulted,183721
6895,1211518,Education,60,0.14,32989,Defaulted,124786
9906,1243923,Personal,24,0.14,34594,Defaulted,355695
1181,1713217,Auto,36,0.07,31950,Paid Off,454963
4648,43954,Auto,60,0.08,48763,Paid Off,347934
8096,94629,Home,36,0.15,2501,Paid Off,246397
2097,1004103,Home,36,0.11,6695,Active,286831
8126,1359155,Home,12,0.08,13769,Active,138485
7078,1118765,Auto,60,0.14,40703,Active,86115
6545,415213,Home,48,0.13,34429,Defaulted,20303
2803,383228,Education,60,0.12,32340,Active,379510
2673,761097,Auto,24,0.13,14003,Defaulted,13386
5376,724561,Auto,48,0.12,3814,Paid Off,370653
8607,714266,Auto,60,0.08,13822,Defaulted,48897
3160,592245,Home,24,0.1,2476,Defaulted,128530
2569,1753588,Home,24,0.15,48653,Defaulted,82141
7550,1551142,Education,36,0.09,12004,Active,309478
7644,1603936,Auto,48,0.07,16076,Paid Off,38379
3774,1707117,Education,24,0.07,48348,Defaulted,10219
7401,562445,Auto,24,0.12,2257,Paid Off,293139
2613,217764,Home,60,0.07,17829,Defaulted,384205
6119,516020,Home,48,0.08,45736,Paid Off,147187
1686,1448814,Home,36,0.08,18990,Active,39816
838,468510,Home,48,0.12,4575,Paid Off,389626
6449,376708,Education,12,0.15,36866,Paid Off,175831
9123,1582701,Auto,60,0.09,47594,Paid Off,358685
2309,1966527,Personal,60,0.13,46849,Active,459708
4972,1178588,Auto,12,0.09,20616,Active,475038
3947,1020243,Home,48,0.11,35421,Defaulted,474281
4164,367060,Education,24,0.14,26532,Defaulted,422654
82,814752,Auto,12,0.14,6857,Defaulted,387287
8961,523651,Home,60,0.14,13675,Active,104116
9002,695661,Home,60,0.11,5264,Active,24413
8662,519091,Education,12,0.11,42951,Active,322539
3623,1133845,Auto,24,0.11,35555,Active,314080
5123,495976,Home,48,0.13,7188,Paid Off,200291
6730,1121265,Auto,60,0.14,35490,Paid Off,18440
5224,905063,Home,48,0.12,31515,Paid Off,123025
8313,438025,Education,48,0.13,41832,Defaulted,235522
1890,105432,Home,12,0.15,6730,Paid Off,156665
8044,766563,Personal,12,0.09,46232,Paid Off,276303
4784,770672,Personal,60,0.14,29601,Defaulted,177592
9602,1548205,Auto,36,0.15,22346,Defaulted,55938
6094,962944,Education,36,0.1,37110,Active,266447
316,764129,Home,12,0.1,41445,Paid Off,227774
504,1643171,Personal,48,0.07,32000,Active,59105
8624,402123,Personal,24,0.12,44827,Paid Off,378283
8783,1735829,Auto,48,0.09,43332,Defaulted,173305
6407,1916952,Home,60,0.12,15059,Active,87836
7268,1182821,Auto,12,0.12,19514,Defaulted,335099
600,537471,Auto,48,0.14,5996,Paid Off,94927
3479,1839644,Home,36,0.1,27974,Defaulted,141258
2452,825628,Auto,12,0.13,44565,Defaulted,321679
1147,567335,Personal,60,0.07,38938,Defaulted,173743
4359,39156,Personal,60,0.07,6090,Paid Off,194276
8850,1731156,Home,48,0.12,46041,Defaulted,103659
6941,288383,Auto,12,0.08,45440,Paid Off,362566
1114,1741851,Personal,48,0.14,11015,Defaulted,223747
9187,1149144,Education,48,0.12,24412,Active,492689
6515,1416615,Home,24,0.11,3511,Defaulted,276346
8552,1199258,Auto,48,0.14,11070,Paid Off,398695
6906,1188448,Auto,60,0.13,26105,Active,164485
3784,64311,Auto,36,0.11,24850,Paid Off,250014
9900,1419345,Personal,36,0.08,29463,Paid Off,208619
5695,1913139,Home,48,0.13,37128,Active,462668
5661,1787922,Personal,48,0.08,44237,Paid Off,285510
5565,675104,Education,36,0.15,23501,Defaulted,8008
7337,1462825,Auto,60,0.15,13647,Paid Off,213711
9371,453610,Home,24,0.15,4987,Paid Off,253811
3641,1416547,Home,36,0.08,5448,Active,34051
1054,153103,Personal,12,0.13,18186,Paid Off,39625
7001,1355744,Personal,12,0.1,31133,Active,116950
5731,818928,Home,60,0.08,46170,Active,97395
6510,832404,Auto,12,0.1,36571,Paid Off,351797
4211,114039,Personal,48,0.07,20885,Active,459959
3595,760935,Education,24,0.1,17040,Active,474493
5420,291764,Education,36,0.09,43536,Defaulted,185931
8513,1965301,Home,48,0.15,37677,Paid Off,228086
2919,930837,Personal,36,0.13,24582,Paid Off,60197
5535,1910887,Personal,60,0.14,4383,Paid Off,474944
2472,114711,Home,60,0.15,28314,Defaulted,294713
4278,472074,Education,36,0.1,21418,Defaulted,5096
3908,901739,Auto,24,0.14,36344,Paid Off,314280
4612,1681089,Education,60,0.1,42838,Active,227756
3062,734436,Education,60,0.08,18462,Paid Off,100350
6514,1444170,Education,12,0.14,24947,Defaulted,261545
7138,672603,Home,24,0.1,11349,Defaulted,393882
8100,580671,Personal,24,0.09,35465,Defaulted,342570
7521,1966710,Auto,60,0.07,13171,Paid Off,74174
2715,1540698,Personal,24,0.14,4443,Defaulted,298295
7482,1914002,Education,48,0.11,31979,Defaulted,291288
5819,693505,Home,24,0.13,31776,Paid Off,414680
5300,1589326,Auto,36,0.09,45733,Defaulted,50415
2727,1397752,Auto,12,0.15,1401,Active,18722
2428,1573490,Home,36,0.12,9140,Paid Off,277036
3379,376712,Home,12,0.15,7100,Active,48225
4618,1731374,Education,36,0.14,46150,Defaulted,467685
8881,567384,Education,36,0.08,27924,Defaulted,493747
2170,1021995,Education,24,0.11,25115,Active,128219
6325,487475,Home,48,0.14,3033,Active,109941
5425,740002,Auto,48,0.1,26591,Active,489085
2800,186720,Personal,48,0.09,44814,Active,408081
2303,824668,Education,24,0.15,47336,Paid Off,162538
212,439985,Education,36,0.09,24103,Active,314066
4994,221975,Home,48,0.08,2397,Active,141049
1320,99324,Home,12,0.08,46285,Defaulted,272020
8095,516648,Education,24,0.09,31740,Defaulted,270068
6871,1708046,Education,60,0.14,19764,Active,223207
1214,1617999,Auto,36,0.12,40391,Paid Off,343700
8082,90420,Auto,60,0.14,32437,Paid Off,10063
8320,390605,Personal,60,0.1,37879,Active,321524
9248,1080404,Auto,48,0.14,46945,Defaulted,298575
5563,1668978,Auto,36,0.1,23029,Active,223662
3286,919437,Education,12,0.14,11223,Paid Off,126608
9969,1755060,Home,48,0.07,3358,Paid Off,286388
7660,623523,Auto,60,0.08,44188,Paid Off,169073
1781,28382,Personal,36,0.08,6054,Active,213111
6333,602206,Auto,12,0.1,7580,Defaulted,292669
1838,293574,Education,48,0.13,4163,Paid Off,405132
9616,896148,Personal,12,0.11,44920,Defaulted,292905
2440,1066017,Education,48,0.1,49470,Paid Off,301471
