customer_id,account_age_years,total_credit_accounts,accounts_in_delinquency,total_credit_limit,credit_balance,credit_utilization_ratio
126,9,10,2,42862,29690,0.692688162
127,15,6,1,36257,26371,0.727335411
128,17,7,3,34377,11156,0.324519301
129,4,8,2,29887,21220,0.710007696
130,11,5,2,36390,15747,0.432728772
131,5,7,2,10954,7246,0.661493518
132,14,4,1,7479,13616,1.820564247
133,3,6,0,26860,27682,1.030603127
134,14,4,2,48934,8954,0.182981158
135,19,10,1,39248,3664,0.093355075
136,19,5,3,43406,12269,0.282656776
137,17,6,3,17842,3117,0.174700146
138,17,1,2,38586,23063,0.59770383
139,5,8,0,10863,2739,0.252140293
140,15,3,1,38944,9089,0.233386401
141,12,8,0,39307,27117,0.689877121
142,14,5,0,46535,4524,0.097217148
143,17,6,2,27921,16369,0.586261237
144,5,5,0,19422,11533,0.593811142
145,4,7,0,23734,9729,0.409918261
146,9,3,1,12568,21481,1.70918205
147,3,1,2,31854,10124,0.317825077
148,7,3,2,28237,8537,0.302333817
149,8,8,1,9445,25563,2.706511382
150,1,10,1,41857,9404,0.224669709
151,17,7,2,12671,8157,0.643753453
152,3,8,2,41248,2619,0.063493988
153,19,7,3,27846,19406,0.696904403
154,2,4,0,41969,27832,0.663156139
155,7,9,0,12633,24382,1.930024539
156,12,7,1,20790,14907,0.717027417
157,5,1,2,31539,8973,0.284504899
158,2,10,3,35669,1660,0.046539011
159,3,9,0,39203,16429,0.419075071
160,3,8,3,32730,29336,0.896303086
161,10,4,0,42056,4300,0.102244626
162,12,4,3,33714,1742,0.051669929
163,13,7,1,13491,5389,0.399451486
164,20,8,0,9270,2841,0.306472492
165,3,6,0,39019,17617,0.451497988
166,6,9,2,47937,20131,0.419947014
167,14,6,3,7900,4584,0.580253165
168,5,6,2,37485,8957,0.238948913
169,19,3,3,20434,24943,1.220661642
170,9,9,3,10318,18667,1.809168443
171,5,2,3,15030,25890,1.72255489
172,20,5,3,23033,24495,1.063474146
173,8,6,3,5362,6245,1.164677359
174,6,4,3,32060,7381,0.230224579
175,12,9,1,12639,11453,0.906163462
176,13,5,0,9393,3457,0.36804003
177,10,2,0,11726,28466,2.427596793
178,4,4,2,47633,19756,0.414754477
179,2,1,0,43832,4103,0.09360741
180,14,8,0,24051,15028,0.624838884
181,1,8,3,32127,2554,0.079496996
182,12,6,1,25116,7042,0.280379041
183,11,7,2,33165,28555,0.86099804
184,9,10,3,25234,15703,0.622295316
185,2,4,3,29037,28963,0.997451527
186,18,1,2,26273,20121,0.765843261
187,6,4,3,13643,5696,0.417503482
188,14,4,2,35197,13903,0.395005256
189,20,2,0,20119,25364,1.260698842
190,5,2,3,16404,21764,1.326749573
191,6,6,3,24487,5567,0.227345122
192,6,5,1,35062,8356,0.238320689
193,1,8,1,25799,3066,0.118841816
194,1,7,3,13200,24499,1.855984848
195,11,3,0,31169,20902,0.670602201
196,5,4,0,20766,22042,1.061446595
197,13,3,2,36073,29904,0.828985668
198,16,6,1,47224,6886,0.145815687
199,13,5,2,12940,20833,1.609969088
200,15,3,1,15842,6429,0.405819972
201,15,7,2,12356,8585,0.694804144
202,6,1,1,16476,28957,1.757526099
203,10,7,2,8703,10943,1.257382512
204,5,7,0,42810,6911,0.161434244
205,7,2,2,22923,5153,0.224796056
206,11,2,3,46479,27167,0.584500527
207,17,5,1,15577,13934,0.894523978
208,9,9,2,42521,27874,0.655534912
209,5,7,3,36344,25860,0.711534228
210,11,10,3,6810,6145,0.902349486
211,4,6,0,8682,25194,2.90186593
212,20,10,3,11183,3210,0.287042833
213,19,9,1,37808,20611,0.545149175
214,20,8,1,28956,8840,0.305290786
215,19,8,3,24432,9354,0.382858546
216,8,6,2,36855,6945,0.188441188
217,19,7,1,18048,8507,0.471354167
218,18,10,1,36657,17985,0.490629348
219,3,5,1,13151,10294,0.782754163
220,13,6,3,39401,6277,0.159310677
221,16,3,1,26808,27109,1.011227992
222,1,9,0,6096,3691,0.605479003
223,1,7,1,36293,28759,0.79241176
224,6,10,1,23331,24683,1.057948652
225,14,4,1,23335,20829,0.892607671
226,9,4,0,19222,18265,0.950213297
227,9,9,0,33632,12918,0.384098478
228,16,4,3,32323,15375,0.475667481
229,5,4,2,32857,9841,0.299509998
230,18,1,1,28696,5721,0.199365765
231,4,4,0,45163,25213,0.558266723
232,12,6,1,16296,18849,1.156664212
233,14,8,0,5022,17490,3.482676225
234,16,8,3,49212,26081,0.529972364
235,16,10,3,23941,5300,0.221377553
236,9,3,0,11254,12947,1.150435401
237,13,6,3,15887,20797,1.30905772
238,4,5,2,38525,26073,0.676781311
239,10,7,1,6204,29549,4.762894907
240,10,9,1,21566,9463,0.438792544
241,9,4,0,5086,7967,1.566456941
242,16,2,0,15827,7341,0.463827636
243,3,8,3,7219,13042,1.806621416
244,3,3,0,13843,23605,1.705193961
245,19,3,2,32893,8787,0.267138905
246,14,3,3,14390,28053,1.949478805
247,17,1,0,5174,9254,1.788558175
248,20,7,1,8623,23874,2.768642004
249,7,1,2,28214,18693,0.662543418
250,8,9,0,28999,22895,0.789509983
251,2,8,2,40203,1558,0.038753327
252,2,9,0,43013,2395,0.055680841
253,2,8,0,44336,8820,0.198935402
254,2,4,3,24502,6649,0.271365603
255,14,2,1,41441,7606,0.183538042
256,3,2,1,27103,4516,0.166623621
257,9,5,3,35287,1331,0.037719273
258,6,2,2,37043,18744,0.506006533
259,3,6,0,35501,13489,0.379961128
260,7,6,0,9373,13317,1.4207831
261,13,3,0,44424,28619,0.644223843
262,2,7,1,46349,28466,0.614166433
263,5,9,0,16762,27251,1.625760649
264,13,10,2,12619,12702,1.006577383
265,15,7,1,48377,16249,0.335882754
266,20,10,3,16177,7416,0.458428633
267,1,5,2,48537,6799,0.140078703
268,1,3,1,15442,20896,1.353192592
269,1,7,2,20649,21472,1.039856652
270,20,7,1,7696,10939,1.421387734
271,16,8,1,25696,15989,0.622236924
272,5,8,2,28020,22501,0.803033547
273,3,8,1,5574,22437,4.025296017
274,20,8,3,5268,28713,5.450455581
275,15,9,0,45451,2031,0.044685485
276,1,4,0,35668,17119,0.47995402
277,8,9,0,40651,23502,0.578140759
278,7,10,0,28781,23787,0.826482749
279,3,8,0,7435,20329,2.734229993
280,3,9,2,8623,27609,3.201785921
281,11,6,1,38304,5540,0.144632414
282,3,8,3,45426,9224,0.203055519
283,13,10,2,11490,10812,0.940992167
284,20,1,1,36516,12001,0.328650455
285,2,6,2,40763,12620,0.309594485
286,5,10,0,38894,4364,0.112202396
287,5,3,3,47228,5331,0.112877954
288,12,8,1,21139,16416,0.776574105
289,7,4,2,27891,24814,0.889677674
290,11,8,3,15247,3148,0.206466846
291,4,7,0,8035,3107,0.386683261
292,16,10,2,17176,21578,1.256287844
293,8,9,1,8966,1431,0.159602944
294,2,1,2,18680,4620,0.24732334
295,14,6,2,14221,13681,0.962027987
296,5,3,1,41089,10098,0.245759206
297,10,7,2,9801,22919,2.338434854
298,6,9,3,37118,11289,0.304138154
299,6,6,0,16338,18722,1.145917493
300,16,2,2,33388,8687,0.260183299
301,12,6,2,26325,16541,0.628338082
302,2,9,3,10412,3159,0.303399923
303,7,7,3,42481,1304,0.030696076
304,10,6,0,28401,13841,0.487341995
305,20,6,3,25645,23662,0.922674985
306,9,3,1,23108,3734,0.16158906
307,6,3,2,12486,15026,1.203427839
308,16,5,0,47853,7451,0.155706016
309,3,9,3,9815,9914,1.010086602
310,11,8,3,32756,26579,0.811423861
311,19,2,2,13157,5944,0.451774721
312,12,8,2,8600,9403,1.093372093
313,19,1,0,42647,24668,0.578422867
314,1,10,3,26715,29489,1.103836796
315,6,2,1,44420,23066,0.519270599
316,8,4,3,6079,29913,4.920710643
317,1,8,3,28262,4140,0.146486448
318,3,2,2,9873,19314,1.956244303
319,15,6,2,15249,27460,1.800773821
320,14,7,0,41131,28377,0.68991758
321,1,9,2,36237,18160,0.501145238
322,7,3,2,13210,16677,1.262452687
323,12,8,3,16511,24146,1.462418993
324,15,4,3,48858,29996,0.613942445
325,20,4,2,36149,22619,0.625715787
326,20,3,2,43240,10824,0.250323774
327,12,6,2,23226,8034,0.345905451
328,8,2,2,39645,1709,0.04310758
329,9,8,0,15242,1436,0.094213358
330,12,3,0,29014,24414,0.841455849
331,12,4,2,19803,24949,1.259859617
332,10,10,1,17786,7907,0.44456314
333,14,9,1,12025,10923,0.908357588
334,12,3,3,35639,19087,0.535564971
335,14,9,1,33057,13256,0.401004326
336,11,2,2,21115,11946,0.565758939
337,19,9,2,39301,17917,0.455891708
338,10,2,1,6483,25240,3.893259294
339,8,6,1,5403,25605,4.73903387
340,1,8,3,13744,9040,0.65774156
341,19,2,0,35805,16148,0.450998464
342,20,5,1,30289,19097,0.630492918
343,7,6,1,39464,6964,0.176464626
344,18,1,2,42891,9989,0.232892681
345,18,9,3,21340,24944,1.168884724
346,17,10,3,25222,14753,0.584925858
347,11,2,2,22090,15362,0.695427795
348,15,6,2,15790,23898,1.51348955
349,5,4,3,44991,23499,0.522304461
350,18,5,0,14721,13770,0.93539841
351,14,2,3,38378,29239,0.761868779
352,17,5,1,29059,24913,0.857324753
353,1,8,0,28258,15610,0.552409937
354,19,1,1,49627,20781,0.418743829
355,1,10,1,37774,12650,0.33488643
356,18,9,1,42258,28154,0.666240712
357,16,2,3,24003,24450,1.018622672
358,5,3,3,15573,13956,0.896166442
359,15,1,2,11037,10915,0.988946272
360,9,10,0,41749,26818,0.642362691
361,20,7,3,43994,25034,0.569032141
362,4,2,1,32579,20768,0.637465852
363,8,2,2,40165,16501,0.410830325
364,15,6,2,29882,14528,0.486178971
365,13,3,0,38653,8456,0.218766978
366,19,8,0,26521,24800,0.935108028
367,6,7,0,33560,22597,0.673331347
368,19,6,3,21117,12648,0.598948714
369,10,7,3,43093,19127,0.44385399
370,3,6,1,5219,13141,2.517915309
371,3,2,2,35725,10864,0.30410077
372,14,6,2,32656,6024,0.184468398
373,4,1,1,32240,3694,0.114578164
374,2,5,3,20022,23483,1.172859854
375,15,9,0,6702,22388,3.340495375
376,9,3,3,41306,28704,0.694911151
377,3,6,2,19475,10144,0.520872914
378,14,4,2,45092,20349,0.451277388
379,9,2,0,43362,14275,0.329205295
380,6,9,0,27887,25490,0.914045971
381,2,7,0,42520,19019,0.44729539
382,17,4,2,10986,5936,0.540324049
383,16,7,1,45270,26151,0.577667329
384,11,3,2,9595,6891,0.718186555
385,11,9,3,37575,9744,0.259321357
386,19,5,1,49624,7852,0.158229889
387,6,9,0,42588,8683,0.203883723
388,2,7,1,34616,22416,0.647561821
389,14,2,1,47909,20064,0.418793964
390,13,3,0,30384,18109,0.596004476
391,14,3,0,48339,20889,0.432135543
392,8,2,1,6363,18226,2.864372152
393,16,1,2,39084,2499,0.063939208
394,8,5,1,17649,22690,1.285625248
395,2,9,1,45309,16730,0.369242314
396,13,6,2,11255,16347,1.452421146
397,1,3,3,5876,24899,4.237406399
398,19,4,2,35747,11729,0.32811145
399,3,10,1,12161,6819,0.560726914
400,2,1,0,28139,16688,0.593055901
401,4,3,0,26477,6319,0.238659969
402,13,4,1,46244,11169,0.241523225
403,19,7,1,28443,27112,0.953204655
404,2,4,2,32798,15502,0.472650771
405,17,1,1,35501,29055,0.81842765
406,4,6,3,42579,10816,0.254021936
407,5,4,2,30374,7886,0.259629947
408,15,4,1,33690,11857,0.351944197
409,12,9,3,35957,15967,0.444058181
410,13,5,1,21305,17782,0.834639756
411,14,2,2,37793,27184,0.71928664
412,18,7,0,20230,8549,0.422590213
413,4,3,1,21059,27166,1.289994777
414,19,5,0,5840,3812,0.652739726
415,4,3,0,38959,14895,0.382325008
416,20,5,1,5953,12150,2.040987737
417,2,8,1,34502,2875,0.083328503
418,6,7,2,10921,9712,0.889295852
419,11,4,2,49138,14422,0.293499939
420,9,2,3,30962,4896,0.15812932
421,19,7,0,14751,15188,1.02962511
422,1,3,3,36695,25909,0.706063496
423,7,9,2,16924,27419,1.620125266
424,4,10,1,39624,22793,0.575232183
425,12,5,3,36407,10179,0.27958909
426,15,2,2,14795,1126,0.076106793
427,2,5,1,28111,6263,0.222795347
428,3,4,2,27974,19570,0.69957818
429,16,4,1,30071,19854,0.660237438
430,14,7,2,26559,29000,1.091908581
431,19,5,1,26298,1716,0.06525211
432,15,10,0,8984,23577,2.624332146
433,7,5,2,10643,24870,2.336747158
434,5,3,3,38984,6456,0.165606403
435,6,8,3,46007,6458,0.140369944
436,5,8,1,25519,14616,0.572749716
437,16,9,3,31636,25551,0.807655835
438,18,2,3,36749,9436,0.256768892
439,13,8,3,44025,20861,0.473844407
440,1,4,1,40962,16845,0.411234803
441,15,4,2,16406,20653,1.258868707
442,19,6,0,39851,20768,0.521141251
443,5,6,2,40965,2979,0.072720615
444,4,2,3,29199,22541,0.771978492
445,12,9,0,24280,8833,0.363797364
446,9,8,3,24276,21439,0.883135607
447,7,6,1,29184,6426,0.220189145
448,7,2,3,15337,1835,0.119645302
449,2,10,2,22482,25924,1.153100258
450,13,4,0,44192,15803,0.35759866
451,4,2,0,10997,23513,2.138128581
452,4,5,2,18580,10134,0.545425188
453,16,6,2,19493,17090,0.876724978
454,6,9,2,11784,24343,2.065767142
455,2,5,2,21926,15392,0.701997628
456,11,6,0,32621,26389,0.80895742
457,2,3,1,37343,8888,0.238009801
458,9,2,0,9995,11733,1.173886943
459,6,7,0,49120,13884,0.282654723
460,20,4,1,29488,17722,0.600990233
461,20,6,1,19679,19172,0.974236496
462,16,7,1,7653,8534,1.115118254
463,12,8,1,18451,14121,0.765324373
464,12,8,2,31678,15007,0.473735716
465,18,3,3,34643,23177,0.669024045
466,17,7,3,11697,19575,1.673506027
467,20,9,0,15872,23066,1.453251008
468,5,4,2,41565,11780,0.283411524
469,15,5,1,37360,11528,0.30856531
470,3,10,0,33745,24745,0.733293821
471,10,3,0,23090,20281,0.878345604
472,15,9,3,9498,10074,1.060644346
473,11,2,3,6213,22594,3.636568485
474,1,5,0,30211,28905,0.956770713
475,1,5,1,49188,22863,0.46480849
476,5,3,0,32890,8333,0.253359684
477,16,4,2,6623,25787,3.893552771
478,17,7,1,11702,3607,0.308237908
479,12,7,1,31442,16477,0.524044272
480,13,2,1,32332,28850,0.892304837
481,14,7,1,18905,4895,0.25892621
482,18,9,1,32856,14052,0.427684441
483,18,1,3,22814,2403,0.10533006
484,17,7,3,43562,24221,0.556012121
485,3,4,2,40978,24030,0.586412221
486,3,7,3,43101,2635,0.061135472
487,19,10,0,33960,3603,0.106095406
488,12,7,2,14733,6398,0.434263219
489,6,4,0,33262,28934,0.869881547
490,1,1,1,14682,11521,0.784702357
491,5,3,3,20545,9349,0.45504989
492,6,3,3,38308,17484,0.456405973
493,16,3,3,22859,16510,0.722253817
494,1,7,0,37762,12858,0.340501033
495,2,3,3,22735,15719,0.691400924
496,10,7,1,47899,11234,0.234535168
497,1,1,0,13071,17755,1.358350547
498,7,9,2,11061,9615,0.86927041
499,18,8,1,34288,9995,0.2915014
500,16,3,0,11962,11434,0.955860224
501,4,3,2,32817,5239,0.159642868
502,11,2,3,21378,26290,1.229768921
503,1,6,0,12479,11676,0.935651895
504,11,9,2,10889,27288,2.506015245
505,17,8,2,19027,6258,0.328901035
506,15,8,0,10069,4429,0.439864932
507,19,7,1,43213,1961,0.045379863
508,9,2,1,44960,24085,0.535698399
509,17,1,2,17372,26767,1.540812802
510,11,7,0,27936,25900,0.927119129
511,11,10,2,18436,28075,1.522835756
512,10,4,3,5646,18195,3.222635494
513,15,4,2,23204,22902,0.986985003
514,17,10,0,12314,12472,1.012830924
515,14,9,0,20597,14209,0.689857746
516,3,7,0,10050,12534,1.247164179
517,19,4,3,5934,21168,3.567239636
518,3,5,2,26542,10334,0.389345189
519,14,7,3,49189,5620,0.114253187
520,9,2,0,30870,21775,0.705377389
521,9,4,2,12576,3895,0.309716921
522,7,2,3,18359,5359,0.29190043
523,6,7,1,14729,11111,0.754362143
524,12,3,3,12070,12292,1.018392709
525,10,4,1,36173,22851,0.631714262
526,12,2,2,25863,7635,0.295209372
527,16,6,0,32130,1080,0.033613445
528,2,5,1,44199,28058,0.634810742
529,20,1,0,30488,6696,0.219627394
530,13,10,0,8695,13247,1.523519264
531,14,9,2,43111,28532,0.661826448
532,13,4,2,39475,28289,0.716630779
533,5,4,0,40505,26136,0.645253672
534,16,3,3,42179,14554,0.345053226
535,4,1,2,40387,12399,0.307004729
536,11,9,2,38122,8564,0.224647185
537,16,2,1,38654,5298,0.137062141
538,17,9,0,5566,6911,1.241645706
539,5,2,3,5211,17635,3.384187296
540,19,4,0,22588,21549,0.954002125
541,18,1,3,27761,24404,0.879074961
542,16,7,3,45323,20795,0.458817819
543,5,7,2,13755,16839,1.224209378
544,5,4,3,31608,16526,0.522842318
545,9,1,1,41094,11823,0.287706234
546,5,8,2,41707,19916,0.477521759
547,17,9,1,19218,17721,0.922104277
548,10,6,1,44469,10228,0.230002923
549,3,5,0,20245,28424,1.404000988
550,12,3,2,11863,16364,1.379414988
551,14,9,1,14647,15863,1.083020414
552,4,8,2,17902,7306,0.408110826
553,20,2,3,16106,7361,0.457034645
554,16,5,0,27032,17686,0.654261616
555,3,1,0,35522,16727,0.470891279
556,20,5,0,49415,9803,0.198381058
557,6,9,3,7185,13794,1.919832985
558,18,5,0,6518,23060,3.53789506
559,1,9,1,21702,21643,0.997281357
560,7,6,2,6974,16582,2.377688557
561,19,6,2,15694,23639,1.506244425
562,16,3,2,9505,19191,2.019042609
563,20,1,0,27052,26557,0.981701907
564,1,10,1,14440,29723,2.058379501
565,14,4,2,25485,3636,0.14267216
566,11,5,0,27998,16979,0.606436174
567,9,7,0,22694,24107,1.062263153
568,7,4,1,29463,2520,0.085531005
569,1,9,1,6482,22386,3.453563715
570,20,5,3,26431,7205,0.272596572
571,14,9,0,11359,13555,1.193326877
572,2,4,0,40980,28777,0.702220595
573,3,4,1,16271,2206,0.135578637
574,6,5,0,46077,23849,0.517590121
575,8,5,3,20737,2183,0.105270772
576,3,6,3,16593,21571,1.300006027
577,5,1,2,38098,15469,0.406031813
578,4,6,0,12355,3516,0.284581141
579,4,6,2,46155,4230,0.091647709
580,10,4,1,15009,21750,1.449130522
581,1,7,3,31306,3384,0.108094295
582,9,9,2,43089,1456,0.033790527
583,5,10,1,18392,6586,0.358090474
584,5,4,2,47132,26167,0.555185437
585,17,6,0,6449,7876,1.221274616
586,8,4,0,33753,3245,0.096139602
587,15,4,2,39892,18492,0.463551589
588,16,3,0,19946,25418,1.27434072
589,10,8,2,38834,11527,0.296827522
590,6,9,3,34818,3052,0.08765581
591,1,7,1,31642,14525,0.45904178
592,3,2,2,9542,1436,0.150492559
593,1,9,2,6644,2976,0.447922938
594,7,5,1,29743,22363,0.751874391
595,9,3,1,48080,11278,0.234567388
596,12,9,2,5394,3029,0.56154987
597,1,10,2,33797,29958,0.886410036
598,5,3,1,6282,18597,2.960362942
599,2,7,0,32284,10645,0.329729897
600,12,3,0,14916,12593,0.844261196
601,3,9,1,41220,13361,0.324138768
602,2,6,2,7451,26887,3.608508925
603,14,1,1,20927,19660,0.939456205
604,16,5,3,19387,24547,1.266157735
605,8,3,0,48774,19605,0.40195596
606,1,3,2,17332,7169,0.413627971
607,14,2,3,27434,28454,1.037180141
608,1,7,2,15436,25554,1.655480694
609,6,5,3,37601,15822,0.420786681
610,2,9,1,8146,19452,2.387920452
611,1,10,1,7350,15068,2.050068027
612,20,5,2,22876,10659,0.465946844
613,18,7,0,15680,1374,0.087627551
614,8,10,2,26744,6148,0.229883338
615,1,3,1,32259,22469,0.696518801
616,18,3,3,26794,12873,0.480443383
617,20,2,1,33575,6531,0.194519732
618,11,6,1,25511,19462,0.762886598
619,3,7,3,41531,24282,0.584671691
620,6,2,3,19217,19966,1.038975907
621,1,1,1,31025,10368,0.334182111
622,15,8,2,36328,24491,0.67416318
623,13,6,1,26190,21618,0.825429553
624,8,7,2,39293,4661,0.118621637
625,14,7,1,23593,2252,0.095452041
626,17,6,0,46948,21925,0.467006049
627,6,8,0,24505,12126,0.494837788
628,9,6,2,10166,23778,2.338973047
629,9,9,1,6549,2216,0.338372271
630,4,2,0,21616,20623,0.954061806
631,17,7,1,13550,26813,1.978819188
632,9,3,1,41979,2899,0.069058339
633,15,9,3,15755,13398,0.850396699
634,6,6,3,43372,24127,0.55628055
635,5,10,2,5924,29418,4.965901418
636,19,7,3,35018,12069,0.344651322
637,7,6,3,19437,9220,0.474353038
638,14,1,2,39520,29152,0.737651822
639,8,3,2,18675,3042,0.162891566
640,18,2,3,12429,18776,1.510660552
641,8,7,1,28054,4737,0.168852926
642,18,4,0,35476,14831,0.418057278
643,3,3,3,47622,13941,0.29274285
644,11,5,1,47231,15900,0.336643306
645,17,7,1,8521,21865,2.566013379
646,20,6,2,41089,10122,0.246343304
647,13,6,2,26717,27689,1.03638133
648,10,4,0,39494,20858,0.528130855
649,12,6,2,7013,7624,1.087123913
650,8,8,3,36964,6204,0.167838978
651,8,3,0,13376,24562,1.836273923
652,17,5,3,5470,2740,0.500914077
653,16,5,3,5273,20685,3.922814337
654,10,9,0,22902,15329,0.66933019
655,17,2,1,15833,18595,1.174445778
656,16,10,1,39107,27524,0.703812617
657,9,7,2,33342,1532,0.045948054
658,3,2,2,38163,13217,0.346330215
659,9,8,2,25588,13289,0.519345005
660,8,6,0,46779,11424,0.244212146
661,4,8,0,7869,8769,1.114372856
662,11,3,2,20699,10756,0.51963863
663,12,8,2,6162,3162,0.513145083
664,13,6,0,40288,17019,0.422433479
665,13,8,2,39133,12267,0.31346945
666,5,8,0,29970,24845,0.828995662
667,8,4,3,17961,8770,0.488280163
668,2,8,3,11249,11015,0.979198151
669,14,6,3,17315,8644,0.499220329
670,3,4,3,9955,9849,0.989352084
671,14,5,3,16182,23721,1.465888024
672,6,1,1,18638,11957,0.641538792
673,11,9,0,39417,25726,0.652662557
674,8,7,1,5477,4124,0.752966953
675,7,4,2,42416,18761,0.442309506
676,14,8,2,28916,18628,0.644210818
677,5,8,0,22063,24621,1.115940715
678,4,10,1,27217,21442,0.787816438
679,3,10,1,41302,17876,0.43281197
680,4,2,2,6933,21370,3.082359729
681,8,4,1,11527,8447,0.732801249
682,15,4,0,33869,22618,0.66780832
683,9,8,0,34417,18302,0.531772089
684,3,7,3,24655,15162,0.614966538
685,11,6,1,40464,23084,0.570482404
686,12,4,2,5784,24453,4.227697095
687,8,10,2,16676,12330,0.739385944
688,5,2,1,42414,27419,0.646461074
689,14,2,2,24648,14040,0.569620253
690,1,2,3,42798,2181,0.050960325
691,4,5,1,5581,11741,2.103744849
692,4,5,3,44908,2036,0.045337134
693,13,7,3,19861,20655,1.039977846
694,13,5,1,45601,11010,0.241442074
